M,constellation,phase_error_pi,phase_error_rad,source_loss_db_per_interface,channel_loss_db_per_arm,raw_hashing_bound_bits_per_attempt,vacuum_hashing_bound_bits_per_attempt,raw_minus_vacuum_hashing_bound_bits_per_attempt,raw_optimized_spacing_d,vacuum_optimized_spacing_d,raw_minus_vacuum_optimized_spacing_d
2,2-QAM,-0.3,-0.942477796077,0.1,0.25,0.428813166267,0.378675033637,0.05013813263,1.80730189985,1.90085995705,-0.0935580572000001
2,2-QAM,-0.295,-0.926769832809,0.1,0.25,0.428851474944,0.37876871199,0.05008276295399999,1.79975854004,1.89126913171,-0.09151059167000009
2,2-QAM,-0.29,-0.911061869541,0.1,0.25,0.428892004316,0.378876840302,0.050015164014000024,1.79239127082,1.88187911728,-0.08948784645999996
2,2-QAM,-0.285,-0.895353906273,0.1,0.25,0.428934645773,0.378998842318,0.04993580345499998,1.78521021271,1.87268781091,-0.0874775982
2,2-QAM,-0.28,-0.879645943005,0.1,0.25,0.428979291922,0.379134142726,0.04984514919600003,1.7781463005,1.86369305794,-0.08554675743999995
2,2-QAM,-0.275,-0.863937979737,0.1,0.25,0.42902583669,0.379282167669,0.04974366902099997,1.77129717799,1.85489266451,-0.08359548651999993
2,2-QAM,-0.27,-0.848230016469,0.1,0.25,0.429074174797,0.379442345168,0.04963182962899998,1.76461049166,1.8462844095,-0.08167391783999989
2,2-QAM,-0.265,-0.832522053201,0.1,0.25,0.429124202466,0.37961410547,0.04951009699600001,1.75808960496,1.83786605583,-0.07977645086999985
2,2-QAM,-0.26,-0.816814089933,0.1,0.25,0.429175817231,0.379796881316,0.04937893591500003,1.7517155024,1.82964027303,-0.07792477063000014
2,2-QAM,-0.255,-0.801106126665,0.1,0.25,0.429228917856,0.379990108119,0.049238809736999956,1.74550291559,1.82160604836,-0.07610313277000014
2,2-QAM,-0.25,-0.785398163397,0.1,0.25,0.429283404443,0.380193224187,0.04909018025599998,1.73944418929,1.81370354345,-0.07425935415999985
2,2-QAM,-0.245,-0.769690200129,0.1,0.25,0.429339178388,0.380405670955,0.04893350743300001,1.73353734291,1.80603057612,-0.0724932332099999
2,2-QAM,-0.24,-0.753982236862,0.1,0.25,0.429396142385,0.380626892491,0.048769249894,1.72778045411,1.79853495043,-0.07075449631999997
2,2-QAM,-0.235,-0.738274273594,0.1,0.25,0.429454200416,0.380856336065,0.048597864351,1.72217165574,1.79121456793,-0.06904291219000003
2,2-QAM,-0.23,-0.722566310326,0.1,0.25,0.429513257736,0.381093451928,0.04841980580800004,1.71670913296,1.78406740353,-0.06735827056999999
2,2-QAM,-0.225,-0.706858347058,0.1,0.25,0.429573220865,0.38133769323,0.048235527635,1.71141174901,1.77707912768,-0.06566737866999994
2,2-QAM,-0.22,-0.69115038379,0.1,0.25,0.429633997536,0.381588516065,0.04804548147100002,1.70624322979,1.77028500885,-0.06404177905999986
2,2-QAM,-0.215,-0.675442420522,0.1,0.25,0.429695496669,0.381845379137,0.04785011753199997,1.70121516082,1.76364611385,-0.062430953030000014
2,2-QAM,-0.21,-0.659734457254,0.1,0.25,0.429757628333,0.38210774388,0.047649884453,1.6963259013,1.75717311012,-0.060847208820000054
2,2-QAM,-0.205,-0.644026493986,0.1,0.25,0.429820303701,0.382375074228,0.047445229473000006,1.69157385664,1.75086436612,-0.05929050948000003
