M,constellation,generation_loss_db_per_step,raw_branch_label,raw_spacing_d,vacuum_spacing_d_interpolated,raw_hashing_bound_bits_per_attempt,vacuum_hashing_bound_bits_per_attempt_interpolated,raw_minus_vacuum_hashing_bound_bits_per_attempt
2,2-QAM,0.0,single,1.67478287424,1.77347712585,0.523688510534,0.460552009601,0.063136500933
2,2-QAM,0.05,single,1.63445635267,1.69288920878,0.47527205281,0.422909845389,0.05236220742100001
2,2-QAM,0.1,single,1.60021650566,1.62379021467,0.431790854934,0.391176264785,0.040614590148999985
2,2-QAM,0.15,single,1.57051053051,1.56330467498,0.392270357698,0.36395002354,0.028320334158000005
2,2-QAM,0.2,single,1.54433889119,1.50953982881,0.356015334845,0.340266460023,0.015748874821999992
2,2-QAM,0.25,single,1.52101417515,1.46117020135,0.322508776506,0.319432778641,0.003075997865000013
2,2-QAM,0.3,single,1.50008679407,1.41724119072,0.291353710639,0.300934821779,-0.009581111139999987
2,2-QAM,0.35,single,1.48122754298,1.37702633309,0.26223751105,0.284380830628,-0.02214331957800003
2,2-QAM,0.4,single,1.46421301638,1.33996580592,0.234908879201,0.269465780938,-0.03455690173699999
2,2-QAM,0.45,single,1.44891702223,1.30563817267,0.209162398752,0.255947835696,-0.046785436944
2,2-QAM,0.5,single,1.43522848204,1.27364966819,0.184827842497,0.243632272037,-0.05880442954000001
4,4-QAM,0.0,high_d,1.76801826628,1.89225817467,1.08526639383,1.01903553152,0.06623086231000008
4,4-QAM,0.05,high_d,1.70840255798,1.82189592207,0.902979890401,0.833102360958,0.06987752944299996
4,4-QAM,0.1,high_d,1.66541120374,1.76820978209,0.755588063203,0.686211466255,0.06937659694800002
4,4-QAM,0.15,high_d,1.6330038608,1.72345041151,0.629076423782,0.562990337748,0.06608608603400001
4,4-QAM,0.2,high_d,1.60875398183,1.6835402343,0.51747103624,0.456644149206,0.06082688703400002
4,4-QAM,0.25,high_d,1.59213822059,1.64499333365,0.417364658198,0.363222041248,0.05414261695
4,4-QAM,0.28,high_d,1.58632044343,1.52281817292,0.361888034316,0.315706502505,0.04618153181099999
4,4-QAM,0.285,high_d,1.58570618801,1.51430938852,0.35294361408,0.308835914821,0.044107699259000044
4,4-QAM,0.29,high_d,1.58521229182,1.5050134222,0.344081840292,0.302058551054,0.04202328923800003
4,4-QAM,0.295,high_d,1.58482002906,1.49474609597,0.335301534802,0.295376572071,0.03992496273099999
4,4-QAM,0.3,high_d,1.58455868888,1.48308726205,0.326601587375,0.288793493464,0.037808093910999985
4,4-QAM,0.305,high_d,1.58442641792,1.46960506044,0.317980956815,0.282314998967,0.035665957847999974
4,4-QAM,0.31,high_d,1.58442986933,1.45321634943,0.30943867214,0.275950621508,0.033488050632
4,4-QAM,0.315,high_d,1.58457633565,1.43169330124,0.300973834404,0.269717925499,0.03125590890500002
4,4-QAM,0.32,high_d,1.5848738066,1.04544318271,0.292585619032,0.264475898132,0.028109720899999968
4,4-QAM,0.325,high_d,1.58533375818,1.01516642392,0.284273278735,0.261102324145,0.023170954590000015
4,4-QAM,0.33,high_d,1.58596503693,0.993108186588,0.276036147095,0.257932230055,0.018103917040000028
4,4-QAM,0.335,high_d,1.58673557369,0.975191692095,0.267873642879,0.254918421541,0.012955221338000034
4,4-QAM,0.34,high_d,1.58773429306,0.959888928886,0.259785275398,0.252033766119,0.0077515092789999795
4,4-QAM,0.345,low_d,0.892448804457,0.94638144541,0.253724900856,0.249260097511,0.004464803345000018
4,4-QAM,0.35,low_d,0.885555033082,0.934318882365,0.251281762548,0.246584189525,0.004697573023000001
4,4-QAM,0.355,low_d,0.878913570974,0.923280435969,0.248890975746,0.243995879403,0.004895096343000005
4,4-QAM,0.36,low_d,0.8725031552,0.913039580561,0.246550213668,0.2414870588,0.005063154868000019
