M,constellation,receiver,generation_loss_db_per_step,channel_loss_db,branch_label,bracket_min,bracket_max,spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,is_global_maximum,seconds
4,4-QAM,raw_label_srm,0.31,0.25,high_d,1.1,2.15,1.58442986933,0.30943867214,1,0.664777406233,0.664777406233,0.198358957615,16,1,8,0,1,0.250
4,4-QAM,raw_label_srm,0.31,0.25,low_d,0.5,1.3,1.26389362426,0.284725121704,1,0.765971348256,0.765971348256,-0.123459214809,14,1,11,0,0,0.619
4,4-QAM,raw_label_srm,0.315,0.25,high_d,1.1,2.15,1.58457633565,0.300973834404,1,0.661796537418,0.661796537418,0.189713935227,16,1,8,0,1,0.419
4,4-QAM,raw_label_srm,0.315,0.25,low_d,0.5,1.3,1.2527501446,0.278347035785,1,0.76717328599,0.76717328599,-0.147394223561,14,1,11,0,0,0.094
4,4-QAM,raw_label_srm,0.32,0.25,high_d,1.1,2.15,1.5848738066,0.292585619032,1,0.658779382335,0.658779382335,0.181119552147,16,1,8,0,1,0.674
4,4-QAM,raw_label_srm,0.32,0.25,low_d,0.5,1.3,1.2417922304,0.272073325167,1,0.768365705112,0.768365705112,-0.170212939703,14,1,11,0,0,0.224
4,4-QAM,raw_label_srm,0.325,0.25,high_d,1.1,2.15,1.58533375818,0.284273278735,1,0.655721608026,0.655721608026,0.172573306938,16,1,8,0,1,0.123
4,4-QAM,raw_label_srm,0.325,0.25,low_d,0.5,1.3,1.3,0.264591555606,1,0.747583033339,0.747583033339,-0.0868661571,14,1,10,1,0,0.306
4,4-QAM,raw_label_srm,0.33,0.25,high_d,1.1,2.15,1.58596503693,0.276036147095,1,0.652619693675,0.652619693675,0.164073225912,16,1,7,0,1,0.205
4,4-QAM,raw_label_srm,0.33,0.25,low_d,0.5,1.3,0.914910453345,0.261395082362,1,0.862484605097,0.862484605097,-0.362488461449,12,1,10,0,0,0.426
4,4-QAM,raw_label_srm,0.335,0.25,high_d,1.1,2.15,1.58673557369,0.267873642879,1,0.649483299437,0.649483299437,0.155623572449,16,1,7,0,1,0.257
4,4-QAM,raw_label_srm,0.335,0.25,low_d,0.5,1.3,0.907126266447,0.258778634088,1,0.863250639164,0.863250639164,-0.365027602516,12,1,9,0,0,0.255
4,4-QAM,raw_label_srm,0.34,0.25,high_d,1.1,2.15,1.58773429306,0.259785275398,1,0.646283125553,0.646283125553,0.147210767023,16,1,8,0,1,0.262
4,4-QAM,raw_label_srm,0.34,0.25,low_d,0.5,1.3,0.899612666713,0.256222929788,0.999999999999,0.863968596762,0.863968596762,-0.367336725949,12,1,9,0,0,0.342
4,4-QAM,raw_label_srm,0.345,0.25,high_d,1.1,2.15,1.58894971721,0.25177064994,1,0.643022082399,0.643022082399,0.138836404907,16,1,8,0,0,0.305
4,4-QAM,raw_label_srm,0.345,0.25,low_d,0.5,1.3,0.892448804457,0.253724900856,1,0.86461513085,0.86461513085,-0.369466167081,12,1,10,0,1,0.161
4,4-QAM,raw_label_srm,0.35,0.25,high_d,1.1,2.15,1.59036473955,0.243829475047,1,0.63970503597,0.63970503597,0.130503097936,16,1,8,0,0,0.382
