outcome,probability,coherent_information,rate_contribution,nearest_bell_label,nearest_bell_fidelity,second_bell_fidelity,bell_participation_ratio,row_norm2
0,0.012537625996646994,1.2485276060433381,0.015653572171060393,8,0.22065433602471468,0.18449924662171424,6.689906184013666,0.22486317150649504
1,0.04124136518620379,1.0901215101044346,0.04495809929555293,8,0.19276282360357186,0.15147069050805997,8.041048398647247,0.6335166287348706
2,0.049390854467240924,1.1805234228164434,0.05830706057149608,14,0.6674690638033177,0.19051543116535782,2.0493101477730526,0.8392970231355648
3,0.027680137457579173,1.2692618110800016,0.035133341400350335,0,0.7795418752595259,0.09904694839564787,1.6023584367862775,0.5039585422659377
4,0.048088711084274566,1.0763744876060888,0.051761461752973276,4,0.21205566530393363,0.16715536338082676,7.561947149058783,0.72468313313846
5,0.038933954536906734,1.1036445466081979,0.042969246602548625,1,0.31755250581183864,0.29218174462412433,4.218966110033973,0.6097748275119609
6,0.053744870205751236,1.0641553808541264,0.057192892822756795,15,0.5132277254864931,0.19711732269392884,3.025613680735862,0.7954835698144715
7,0.03836095946296625,1.069517893574491,0.041027732560328094,15,0.41989469483888703,0.25615333826321407,3.6965271102885557,0.5720947729993164
8,0.031498473445341305,1.1609663889794888,0.03656866897420421,2,0.47366765288531254,0.22083132213281303,3.2308258102130285,0.5231873304392098
9,0.04344937351116657,1.243779422630797,0.054041436699388594,4,0.20417057000808586,0.17281403598074668,7.070126575654071,0.77561852822826
10,0.03251786565527933,1.0962387060998644,0.03564734297107263,5,0.1757317749122325,0.17533199750240105,8.024382365373324,0.5042301136603718
11,0.011189187549332735,1.1162891572522886,0.01249036873978244,2,0.5483470691539624,0.24811574619052187,2.6799548111743667,0.17718555170913064
12,0.004122523867919521,1.1694232470585697,0.0048209752476989,0,0.348230516853218,0.30163172556639367,3.8723523996829545,0.06888375647851235
13,0.027984121312697965,1.1911045434543834,0.03333201404013319,9,0.1512218035258287,0.15088005332082804,8.293422325154122,0.4798563910374314
14,0.048210936593960245,1.1030031001547305,0.053176812524501293,6,0.16710908481904002,0.16338463065489464,8.414966035679797,0.7544671994660896
15,0.0037234406945848017,0.9133117628249601,0.003400662184545439,13,0.1744498065583972,0.17286656913996665,8.709120759709606,0.046533618515510314
16,0.034934594746770076,1.1794644513146173,0.041204112624897676,10,0.20237167870164724,0.20185190299901934,6.093005998277284,0.592580648896099
17,0.03211034126353793,1.1330818590239142,0.03638364517278186,6,0.17448946615817712,0.17016335996371237,7.938603746940041,0.5176300705738517
18,0.030596031090313187,1.1993317919508597,0.03669479279412953,6,0.14987666085161516,0.1492343646986827,8.251377058272148,0.5282441892292752
19,0.03013780113518441,1.122093533037103,0.033817431753748683,4,0.20741246770174296,0.1912367801714235,6.830648878943783,0.4780216985449211
20,0.000431387107899713,0.9092178568444306,0.0003922248617148942,14,0.12360658998516624,0.12111892149106677,11.878877955661853,0.0054315499634241034
21,0.03383204192175617,1.0264682873892639,0.03472751813030684,11,0.20841066469891592,0.18317586571567346,7.494706276581437,0.4741422492843693
22,0.016063872749293807,1.1698012258564305,0.018791538034125605,1,0.5751212878567052,0.16380357381458682,2.6007217787003003,0.2696069134068643
23,0.04593010343374811,1.1200788752114872,0.05144533859241984,1,0.30825916983548424,0.27958028373353894,4.251925765865498,0.7339056892964154
24,0.03616001166155104,1.048671370218318,0.03791996897622909,11,0.1805559411569676,0.15850058968874625,8.373241914806824,0.5232241495072415
25,0.050162552866285084,1.1596036403732684,0.058168678914160714,13,0.5138138246287124,0.21377196791165431,2.9497204750523576,0.833183669898812
26,0.010063044608042356,1.157729905543838,0.011650287683552304,1,0.4021989794237778,0.24475452788049906,3.6765773204210843,0.16630689324795972
27,0.01404750739623441,1.1909988059659287,0.016730564535712734,8,0.14653613598698123,0.14023691264091523,8.493691550129608,0.23949673052858086
28,0.03315483667679138,1.1242808819341081,0.03727534901936433,9,0.20516203351692636,0.1998879156258886,7.151546346062922,0.5324760097997779
29,0.025494805559419575,1.1245073088442776,0.028669095189131036,0,0.2557392847226996,0.2414821751924203,4.5789104613736535,0.4060002351640758
30,0.0548871865244871,1.1804996998925237,0.06479430722010199,12,0.38594850731166985,0.27076488176892344,3.7233880559856334,0.9269812745539334
31,0.039319480230833495,1.0107744045475058,0.03974312421743815,3,0.6854740506236089,0.11909889460190175,2.0364148182630086,0.5391338694628068
