outcome,probability,coherent_information,rate_contribution,nearest_bell_label,nearest_bell_fidelity,second_bell_fidelity,bell_participation_ratio,row_norm2
0,0.05014145022090607,1.1389048343334554,0.05710634005708022,0,0.7943763163401292,0.08008367793299837,1.5517952744186898,0.8637104175249086
1,0.062427598261714734,1.1144334117275423,0.06957140131675914,1,0.7876098445708468,0.08005904289851043,1.5768845818766182,0.9999999999999959
2,0.062427598261714734,1.1144334117275434,0.06957140131675921,2,0.7876098445708467,0.08005904289851044,1.5768845818766188,0.9999999999999952
3,0.06614284359238462,1.0585712877786313,0.07001691511893118,3,0.7690744148831754,0.07753291038657073,1.6530036960402206,0.9999999999999958
4,0.05866952975165125,0.8624851468927984,0.05060159798598434,4,0.7434780376914926,0.07421067025416146,1.7664847226798777,0.8585279276373309
5,0.0624275982617149,1.0248220400135926,0.06397717860371967,5,0.795482254493714,0.07940149982717569,1.5469824325771109,0.9999999999999983
6,0.06242759826171474,1.0248220400135928,0.06397717860371951,6,0.795482254493714,0.0794014998271757,1.5469824325771109,0.999999999999997
7,0.05831794118831407,1.1093627696671309,0.06469575275795295,7,0.8224251638788623,0.08209082118262191,1.4493868129304421,0.9999999999999972
8,0.058669529751651274,0.8624851468928008,0.050601597985984494,8,0.7434780376914929,0.07421067025416148,1.7664847226798759,0.8585279276373308
9,0.0624275982617149,1.0248220400135912,0.06397717860371958,9,0.7954822544937139,0.07940149982717569,1.5469824325771115,0.9999999999999989
10,0.06242759826171486,1.0248220400135901,0.06397717860371947,10,0.7954822544937138,0.07940149982717563,1.546982432577112,0.9999999999999978
11,0.05831794118831403,1.109362769667133,0.06469575275795303,11,0.8224251638788623,0.08209082118262193,1.4493868129304421,0.9999999999999968
12,0.050141450220906054,1.1389048343334554,0.05710634005708021,12,0.7943763163401293,0.08008367793299837,1.5517952744186896,0.8637104175249088
13,0.06242759826171488,1.1144334117275414,0.06957140131675925,13,0.7876098445708467,0.08005904289851037,1.5768845818766184,0.9999999999999983
14,0.062427598261714824,1.114433411727543,0.06957140131675928,14,0.7876098445708467,0.08005904289851033,1.5768845818766188,0.9999999999999971
15,0.06614284359238458,1.0585712877786317,0.07001691511893117,15,0.7690744148831752,0.0775329103865707,1.6530036960402215,0.9999999999999957
