outcome,probability,coherent_information,rate_contribution,nearest_bell_label,nearest_bell_fidelity,second_bell_fidelity,bell_participation_ratio,row_norm2
0,0.05626591347013399,1.2455625616307802,0.0700827153143559,0,0.8272257690575144,0.07269161215848828,1.4385112942509113,0.9999999999999992
1,0.06232915306855226,1.1148269292224868,0.06948621831645246,1,0.7876649417783578,0.06994219318687904,1.580059743506491,0.9999999999999991
2,0.062329153068552356,1.1148269292224888,0.06948621831645269,2,0.7876649417783573,0.06994219318687898,1.5800597435064927,0.9999999999999986
3,0.06909909600624227,1.0410691351403443,0.07193693611819825,3,0.758809521878529,0.0666796049274511,1.7006222213031126,0.9999999999999981
4,0.06918295271692099,0.9697014930915672,0.06708681254608158,4,0.7641396446356333,0.0666398913955007,1.677950349902469,0.9999999999999977
5,0.062329153068552065,1.037418750825847,0.06466143211641029,5,0.793670114721141,0.06921521559595448,1.5570615911734806,0.9999999999999967
6,0.06232915306855222,1.0374187508258512,0.06466143211641072,6,0.7936701147211412,0.0692152155959545,1.5570615911734798,0.9999999999999987
7,0.05613542553249287,1.162036833737523,0.06523143214628653,7,0.8345924631445802,0.07278401466786652,1.4138028987180848,0.9999999999999966
8,0.06918295271692103,0.9697014930915727,0.067086812546082,8,0.7641396446356334,0.06663989139550071,1.6779503499024686,0.9999999999999984
9,0.062329153068552,1.0374187508258474,0.06466143211641026,9,0.7936701147211409,0.06921521559595445,1.557061591173481,0.9999999999999944
10,0.06232915306855206,1.0374187508258421,0.06466143211640998,10,0.7936701147211408,0.06921521559595442,1.5570615911734815,0.9999999999999936
11,0.056135425532493,1.162036833737523,0.06523143214628667,11,0.8345924631445802,0.07278401466786649,1.4138028987180848,0.9999999999999968
12,0.056265913470133995,1.245562561630783,0.07008271531435609,12,0.8272257690575144,0.07269161215848827,1.4385112942509113,0.9999999999999981
13,0.06232915306855215,1.1148269292224815,0.069486218316452,13,0.787664941778357,0.06994219318687893,1.5800597435064938,0.9999999999999939
14,0.062329153068552245,1.1148269292224828,0.06948621831645219,14,0.787664941778357,0.06994219318687891,1.5800597435064943,0.9999999999999967
15,0.06909909600624223,1.0410691351403454,0.07193693611819829,15,0.758809521878529,0.06667960492745109,1.7006222213031126,0.9999999999999977
