bell_0,bell_1,bell_2,bell_3,bell_4,bell_5,bell_6,bell_7,bell_8,bell_9,bell_10,bell_11,bell_12,bell_13,bell_14,bell_15
0.8272257690575144,0.07269161215848828,0.07269161215848825,0.01264650856656889,0.0004916885851438454,4.287969371098023e-05,4.2879693710980235e-05,3.739497292192701e-06,0.0004916885851438444,4.2879693710980174e-05,4.287969371098013e-05,3.739497292192708e-06,0.011403622939023344,0.0010020816165211728,0.0010020816165211741,0.00017433694715844042
0.06849211365899391,0.7876649417783578,0.012063755519339144,0.06994219318687904,0.004532708799889722,0.00039529322195567184,0.051975212129748365,0.00453270879988972,2.959093960523363e-05,0.00033931042804647164,2.5805976897375555e-06,2.9590939605233604e-05,1.637926370216698e-31,5.057850151448033e-31,7.479642458105403e-31,6.84866389268558e-30
0.06849211365899387,0.012063755519339102,0.7876649417783573,0.06994219318687898,2.9590939605233513e-05,2.5805976897375454e-06,0.0003393104280464703,2.9590939605233503e-05,0.004532708799889776,0.051975212129748996,0.00039529322195567575,0.004532708799889775,1.9006206180824222e-31,8.838181943197874e-31,6.647921489606699e-31,8.577857245783078e-30
0.011600570820906882,0.06667960492745106,0.0666796049274511,0.758809521878529,0.03967980877145256,0.003460438371031908,0.0034604383710319085,0.00030178153802810264,0.03967980877145249,0.0034604383710319033,0.0034604383710319046,0.00030178153802810177,3.113652938946314e-05,0.00017897149291650743,0.00017897149291650743,0.0020366838273505176
0.0009228562050767972,0.004097821373084383,0.002859549259474184,0.039269557650746204,0.7641396446356333,0.0666398913955007,0.06663989139550065,0.005811601526474461,0.0020891310858939184,0.00018219113437219892,0.000182191134372199,1.5888715489399344e-05,0.0009228562050768029,0.0028595492594741694,0.00409782137308438,0.0392695576507461
2.1664774801127068e-32,2.691870549006394e-32,8.146868344651943e-32,2.602146868331332e-32,0.06921521559595448,0.793670114721141,0.0060361930997965135,0.06921521559595448,1.937826981983389e-06,1.6899604742300714e-07,2.2220480711619335e-05,1.937826981983389e-06,0.0038372599755523585,0.0011253200473982524,0.05158707633004233,0.00528733950343761
0.0038372599755524053,0.051587076330042295,0.001125320047398199,0.0052873395034375515,0.06921521559595449,0.006036193099796472,0.7936701147211412,0.0692152155959545,1.9378269819833255e-06,2.2220480711618597e-05,1.6899604742300227e-07,1.9378269819833255e-06,1.9884705141000087e-31,8.072587533761655e-31,1.0527045031161566e-30,9.76820942022683e-30
7.008110483649465e-32,2.2792081438214995e-32,2.729885923914984e-31,2.8190262369648255e-32,0.0063474246714524535,0.07278401466786646,0.07278401466786652,0.8345924631445802,8.681124403686646e-05,0.000995438494564949,0.0009954384945649489,0.01141439461506756,1.1585839747363408e-32,2.2773712817168114e-32,8.420363321543062e-32,5.403109597350227e-32
0.0009228562050768046,0.0028595492594741746,0.004097821373084388,0.03926955765074619,0.002089131085893926,0.00018219113437219962,0.00018219113437219973,1.5888715489399533e-05,0.7641396446356334,0.06663989139550071,0.06663989139550063,0.005811601526474475,0.0009228562050768042,0.004097821373084383,0.0028595492594741655,0.03926955765074607
0.0038372599755524196,0.0011253200473982047,0.051587076330042524,0.005287339503437577,1.9378269819833907e-06,1.6899604742300756e-07,2.2220480711619342e-05,1.9378269819833907e-06,0.06921521559595442,0.7936701147211409,0.0060361930997965135,0.06921521559595445,1.7725861471459628e-31,9.988650084861245e-31,7.786159710355221e-31,8.883764422822979e-30
1.9077319832501655e-32,1.482988127604186e-32,2.8391422547969525e-32,4.882820825209599e-32,1.937826981983151e-06,2.2220480711616598e-05,1.6899604742298745e-07,1.937826981983151e-06,0.0692152155959544,0.0060361930997965135,0.7936701147211408,0.06921521559595442,0.0038372599755523915,0.051587076330042586,0.001125320047398238,0.005287339503437615
4.199935025417226e-32,1.6603991608550713e-32,2.0172225632366522e-32,9.871841090869383e-32,8.681124403686711e-05,0.0009954384945649512,0.000995438494564951,0.011414394615067585,0.00634742467145246,0.07278401466786649,0.07278401466786644,0.8345924631445802,7.518974924987037e-32,1.0968621762569072e-31,1.1066936569230293e-31,1.461809201166909e-31
0.011403622939023342,0.0010020816165211741,0.0010020816165211726,0.0001743369471584402,0.0004916885851438575,4.28796937109813e-05,4.287969371098128e-05,3.7394972921928028e-06,0.0004916885851438534,4.287969371098092e-05,4.287969371098093e-05,3.739497292192769e-06,0.8272257690575144,0.07269161215848827,0.07269161215848827,0.012646508566568876
3.5317199801618606e-32,4.597225597899101e-33,7.601720903295662e-33,2.081707164958895e-32,2.959093960523645e-05,0.0003393104280465039,2.5805976897377995e-06,2.959093960523644e-05,0.004532708799889783,0.0003952932219556749,0.05197521212974911,0.004532708799889785,0.06849211365899387,0.787664941778357,0.012063755519339095,0.06994219318687893
7.160771394299876e-32,5.985855916583285e-32,7.33187265685719e-33,1.9512098885504954e-32,0.0045327087998897776,0.051975212129748996,0.0003952932219556736,0.004532708799889778,2.9590939605235475e-05,2.5805976897377046e-06,0.00033931042804649273,2.9590939605235458e-05,0.06849211365899391,0.012063755519339102,0.787664941778357,0.06994219318687891
3.113652938946328e-05,0.00017897149291650836,0.00017897149291650754,0.0020366838273505237,0.039679808771452454,0.0034604383710319015,0.0034604383710318994,0.0003017815380281009,0.03967980877145251,0.0034604383710319054,0.003460438371031906,0.00030178153802810134,0.011600570820906882,0.06667960492745109,0.06667960492745109,0.758809521878529
