bell_0,bell_1,bell_2,bell_3,bell_4,bell_5,bell_6,bell_7,bell_8,bell_9,bell_10,bell_11,bell_12,bell_13,bell_14,bell_15
0.7943763163401292,0.08008367793299837,0.08008367793299835,0.01593392161345747,0.01213615147211288,0.0012113766505437032,0.0012113766505437032,0.00012091422827528481,0.012136151472112866,0.001211376650543702,0.001211376650543702,0.00012091422827528525,0.00013323253010245927,1.3431607679445684e-05,1.3431607679445698e-05,2.672432004010341e-06
0.08005904289851043,0.7876098445708468,0.015812002157867225,0.07874674136567028,0.0030810901961541405,0.000307540716710459,0.030867837268438125,0.0030810901961541414,3.5880513520721736e-05,0.0003594681693668351,3.581433240051119e-06,3.5880513520721716e-05,5.822317773533493e-32,1.1630428763017202e-32,4.13110686646106e-32,4.980767684587745e-33
0.08005904289851044,0.015812002157867197,0.7876098445708467,0.07874674136567024,3.5880513520723207e-05,3.5814332400512544e-06,0.0003594681693668499,3.588051352072322e-05,0.0030810901961541666,0.030867837268438367,0.00030754071671045945,0.003081090196154166,7.997731207015717e-32,2.3243916177198472e-32,2.6838345355872e-32,1.3138260524141497e-32
0.01542640583511206,0.0775329103865707,0.07753291038657073,0.7690744148831754,0.02447629264041721,0.0024431146450839478,0.0024431146450839478,0.00024386083532795832,0.024476292640417216,0.0024431146450839495,0.002443114645083949,0.00024386083532795875,2.004047588244351e-05,0.00010072316502662745,0.0001007231650266276,0.0009991061708094007
0.009419141270643333,0.0007390930983556566,0.007334646469159912,0.031427096058780774,0.7434780376914926,0.07421067025416146,0.07421067025416145,0.007407378968008131,0.002358881125101566,0.00023545302008815585,0.00023545302008815596,2.35018730188224e-05,0.009419141270643345,0.0073346464691599386,0.0007390930983556645,0.03142709605878092
4.8147578469880685e-33,3.291051495981473e-32,1.434402416615737e-32,7.147286014085635e-33,0.07940149982717568,0.795482254493714,0.00792550448383992,0.07940149982717569,1.3923049146713412e-06,1.3897368271528967e-07,1.3948777477454759e-05,1.3923049146713406e-06,0.0037731214760949754,0.0009689425090268267,0.030569485078728847,0.002460819943254794
0.0037731214760949733,0.030569485078728642,0.0009689425090268408,0.0024608199432547594,0.0794014998271757,0.00792550448383994,0.795482254493714,0.07940149982717568,1.3923049146716845e-06,1.3948777477458206e-05,1.3897368271532461e-07,1.3923049146716845e-06,7.800779969966186e-32,3.6719898170791305e-32,8.764510501544552e-32,2.9031349258411474e-32
3.9596316150876095e-32,5.820511588282395e-32,1.183494150536304e-31,2.1093127125337606e-32,0.008193940577710529,0.08209082118262191,0.0820908211826219,0.8224251638788623,4.282502976260506e-05,0.0004290416591432902,0.0004290416591432902,0.004298344830134023,4.817288859577493e-32,7.610972829915239e-32,1.5491508285517334e-31,2.8254999009574065e-32
0.009419141270643331,0.007334646469159911,0.0007390930983556549,0.03142709605878076,0.002358881125101541,0.00023545302008815325,0.00023545302008815336,2.350187301882221e-05,0.7434780376914929,0.07421067025416148,0.07421067025416145,0.007407378968008138,0.009419141270643352,0.000739093098355661,0.007334646469159935,0.031427096058780885
0.003773121476094987,0.0009689425090268278,0.030569485078728965,0.0024608199432548054,1.3923049146714716e-06,1.3897368271530354e-07,1.3948777477456079e-05,1.3923049146714727e-06,0.07940149982717566,0.7954822544937139,0.007925504483839926,0.07940149982717569,4.903798734278217e-32,1.7857149334597075e-32,3.4594552044339997e-32,3.509129786913901e-32
9.110293674692795e-33,1.8550842763704514e-32,4.927748388659304e-32,9.456154451195536e-33,1.3923049146712753e-06,1.3948777477454115e-05,1.3897368271528374e-07,1.3923049146712766e-06,0.07940149982717563,0.007925504483839968,0.7954822544937138,0.07940149982717562,0.003773121476094989,0.030569485078728854,0.0009689425090268346,0.0024608199432547846
4.242429248394179e-32,5.17082905706805e-32,1.915037040648848e-32,1.573161973534103e-32,4.282502976260522e-05,0.00042904165914329194,0.00042904165914329145,0.004298344830134038,0.008193940577710578,0.08209082118262193,0.08209082118262191,0.8224251638788623,6.577689546244888e-32,5.120100018477182e-32,3.2098603529863274e-31,2.8786522082545493e-32
0.00013323253010246442,1.3431607679446218e-05,1.3431607679446189e-05,2.6724320040104343e-06,0.012136151472112893,0.0012113766505437045,0.001211376650543704,0.00012091422827528535,0.012136151472112874,0.0012113766505437026,0.001211376650543702,0.00012091422827528525,0.7943763163401293,0.08008367793299837,0.08008367793299834,0.015933921613457504
2.5204065198564775e-32,1.0211433553507372e-32,2.538894927247586e-32,1.1263673079066519e-32,3.5880513520722454e-05,0.0003594681693668423,3.5814332400512e-06,3.588051352072246e-05,0.0030810901961541588,0.0003075407167104599,0.03086783726843829,0.003081090196154158,0.08005904289851037,0.7876098445708467,0.015812002157867218,0.07874674136567028
6.89313113709667e-32,2.172680077633275e-32,1.1928102314709788e-32,1.7679980350078786e-32,0.0030810901961541622,0.030867837268438322,0.0003075407167104603,0.0030810901961541622,3.588051352072199e-05,3.5814332400511426e-06,0.0003594681693668379,3.5880513520722e-05,0.08005904289851033,0.015812002157867246,0.7876098445708467,0.07874674136567036
2.0040475882443035e-05,0.00010072316502662536,0.00010072316502662555,0.0009991061708093804,0.024476292640417223,0.002443114645083949,0.0024431146450839486,0.0002438608353279592,0.024476292640417188,0.002443114645083945,0.002443114645083945,0.0002438608353279592,0.015426405835112053,0.07753291038657067,0.0775329103865707,0.7690744148831752
