subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,spacing_d,hashing_bound_bits_per_attempt,grid_region,loss_db,eta,success_probability,average_target_fidelity,useful_outcomes,seconds
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5925,0.179649501963,full_d,0.9,0.812830516164,0.999999999999,0.936409077727,12,0.017
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.595,0.18052830658,full_d,0.9,0.812830516164,0.999999999947,0.935889062375,12,0.014
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5975,0.181402718233,full_d,0.9,0.812830516164,0.999999999879,0.935367153571,12,0.008
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6,0.182272686934,full_d,0.9,0.812830516164,0.999999999811,0.934843355007,12,0.024
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6025,0.183138163294,full_d,0.9,0.812830516164,0.999999999946,0.934317670391,12,0.005
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.605,0.183999098405,full_d,0.9,0.812830516164,0.999999999968,0.933790103448,12,0.014
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6075,0.184855443996,full_d,0.9,0.812830516164,0.999999999928,0.93326065792,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.61,0.185707152382,full_d,0.9,0.812830516164,0.999999999881,0.932729337565,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6125,0.186554176483,full_d,0.9,0.812830516164,0.999999999997,0.932196146158,12,0.058
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.615,0.187396469725,full_d,0.9,0.812830516164,0.999999999997,0.931661087491,12,0.016
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6175,0.1882339862,full_d,0.9,0.812830516164,0.999999999998,0.931124165371,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.62,0.189066680572,full_d,0.9,0.812830516164,0.999999999974,0.930585383625,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6225,0.189894508121,full_d,0.9,0.812830516164,0.999999999957,0.930044746093,12,0.037
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.625,0.19071742471,full_d,0.9,0.812830516164,0.999999999879,0.929502256635,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6275,0.191535386876,full_d,0.9,0.812830516164,0.999999999994,0.928957919128,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.63,0.192348351651,full_d,0.9,0.812830516164,0.999999999925,0.928411737464,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6325,0.193156276818,full_d,0.9,0.812830516164,0.999999999992,0.927863715555,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.635,0.193959120677,full_d,0.9,0.812830516164,0.999999999966,0.927313857327,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6375,0.194756842229,full_d,0.9,0.812830516164,0.999999999999,0.926762166727,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.64,0.195549401056,full_d,0.9,0.812830516164,0.999999999992,0.926208647717,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6425,0.196336757392,full_d,0.9,0.812830516164,0.999999999937,0.925653304277,12,0.019
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.645,0.197118872138,full_d,0.9,0.812830516164,0.999999999975,0.925096140405,12,0.022
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6475,0.197895706788,full_d,0.9,0.812830516164,0.999999999998,0.924537160116,12,0.021
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.65,0.198667223496,full_d,0.9,0.812830516164,0.999999999968,0.923976367444,12,0.029
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6525,0.199433385091,full_d,0.9,0.812830516164,0.999999999998,0.92341376644,12,0.022
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.655,0.200194155016,full_d,0.9,0.812830516164,0.999999999984,0.922849361173,12,0.061
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6575,0.200949497392,full_d,0.9,0.812830516164,0.999999999959,0.922283155731,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.66,0.201699376992,full_d,0.9,0.812830516164,0.999999999904,0.921715154218,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6625,0.202443759281,full_d,0.9,0.812830516164,0.999999999952,0.921145360758,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.665,0.203182610341,full_d,0.9,0.812830516164,0.999999999999,0.920573779492,12,0.023
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6675,0.203915896921,full_d,0.9,0.812830516164,0.999999999941,0.920000414581,12,0.015
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.67,0.204643586507,full_d,0.9,0.812830516164,0.999999999986,0.919425270204,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6725,0.205365647188,full_d,0.9,0.812830516164,0.999999999995,0.918848350557,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.675,0.206082047765,full_d,0.9,0.812830516164,0.999999999994,0.918269659856,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6775,0.206792757715,full_d,0.9,0.812830516164,0.999999999999,0.917689202336,12,0.021
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.68,0.207497747193,full_d,0.9,0.812830516164,0.999999999999,0.91710698225,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6825,0.208196987045,full_d,0.9,0.812830516164,1.0,0.916523003871,12,0.018
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.685,0.208890448792,full_d,0.9,0.812830516164,0.999999999965,0.915937271489,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6875,0.209578104679,full_d,0.9,0.812830516164,0.999999999998,0.915349789414,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.69,0.210259927592,full_d,0.9,0.812830516164,0.999999999963,0.914760561977,12,0.046
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6925,0.21093589117,full_d,0.9,0.812830516164,0.999999999999,0.914169593527,12,0.008
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.695,0.211605969697,full_d,0.9,0.812830516164,0.999999999997,0.91357688843,12,0.027
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.6975,0.212270138188,full_d,0.9,0.812830516164,0.999999999997,0.912982451076,12,0.014
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7,0.21292837235,full_d,0.9,0.812830516164,0.999999999988,0.91238628587,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7025,0.213580648601,full_d,0.9,0.812830516164,0.999999999999,0.911788397241,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.705,0.214226944052,full_d,0.9,0.812830516164,0.999999999999,0.911188789634,12,0.007
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7075,0.214867236527,full_d,0.9,0.812830516164,0.999999999981,0.910587467516,12,0.025
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.71,0.21550150457,full_d,0.9,0.812830516164,1.0,0.909984435373,12,0.01
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7125,0.216129727415,full_d,0.9,0.812830516164,1.0,0.909379697713,12,0.027
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.715,0.216751885022,full_d,0.9,0.812830516164,0.999999999995,0.90877325906,12,0.025
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7175,0.217367958062,full_d,0.9,0.812830516164,0.999999999998,0.908165123963,12,0.006
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.72,0.217977927917,full_d,0.9,0.812830516164,0.999999999989,0.907555296987,12,0.024
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7225,0.218581776694,full_d,0.9,0.812830516164,0.999999999999,0.906943782721,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.725,0.219179487205,full_d,0.9,0.812830516164,0.999999999999,0.906330585772,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7275,0.219771042988,full_d,0.9,0.812830516164,0.999999999999,0.90571571077,12,0.045
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.73,0.220356428297,full_d,0.9,0.812830516164,0.999999999995,0.905099162362,12,0.023
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7325,0.22093562811,full_d,0.9,0.812830516164,0.999999999999,0.904480945219,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.735,0.221508628119,full_d,0.9,0.812830516164,0.999999999999,0.903861064032,12,0.035
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.7375,0.222075414743,full_d,0.9,0.812830516164,0.999999999999,0.903239523513,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.74,0.22263597512,full_d,0.9,0.812830516164,0.999999999998,0.902616328395,12,0.003
