subfigure,spacing_scale,M,loss_db,spacing_d,outcomes,previous_ykl_rate,best_rate,best_matrix_path,source_file,eta,reference_spacing_d,best_minus_previous_ykl,relative_gain_vs_previous_percent,best_source,best_start_name,best_polish_name,screen_starts,polished_candidates,screen_best_rate,screen_ykl_rate,polish_ykl_rate,best_minus_screen_ykl,best_minus_polish_ykl,near_best_screen_count,near_best_polish_count,near_best_abs_tol,best_gradient_norm,best_iterations,seconds
End Matter optimized-POVM d-scale scan,0.5,4,0.25,0.946129462925,32,1.01903553152,0.691370127459,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p5_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv,0.944060876286,1.89225892585,-0.327665404061,-32.1544631101,random_4,polish_2_from_random_4,polish,21,6,0.68142333654,0.616046700812,0.616597091932,0.0753234266471,0.0747730355269,0,4,0.001,0.00438575140005,220,29.473
End Matter optimized-POVM d-scale scan,0.6,4,0.25,1.13535535551,32,1.01903553152,0.868258997736,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p6_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv,0.944060876286,1.89225892585,-0.150776533784,-14.7960035858,random_15,polish_3_from_random_15,polish,21,6,0.854258424022,0.772698228786,0.772777366473,0.0955607689504,0.0954816312632,0,5,0.001,0.00518344304169,220,30.143
End Matter optimized-POVM d-scale scan,0.7,4,0.25,1.32458124809,32,1.01903553152,0.996987325217,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p7_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv,0.944060876286,1.89225892585,-0.022048206303,-2.16363469389,random_6,polish_1_from_random_6,polish,21,6,0.980896391531,0.915248323894,0.932389068747,0.0817390013234,0.0645982564702,0,1,0.001,0.00567803012179,220,30.46
End Matter optimized-POVM d-scale scan,0.8,4,0.25,1.51380714068,32,1.01903553152,1.07521053673,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p8_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv,0.944060876286,1.89225892585,0.0561750052124,5.51256589931,random_10,polish_1_from_random_10,polish,21,6,1.04582357104,1.02766448239,1.03524731529,0.0475460543445,0.039963221441,0,1,0.001,0.00934759367874,220,28.807
End Matter optimized-POVM d-scale scan,0.85,4,0.25,1.60842008697,32,1.01903553152,1.10826097953,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p85_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv,0.944060876286,1.89225892585,0.0892254480081,8.75587212107,random_11,polish_4_from_random_11,polish,21,5,1.06381439905,1.0630177903,1.0669609961,0.0452431892303,0.0412999834248,0,1,0.001,0.00992815277426,220,27.061
End Matter optimized-POVM d-scale scan,0.9,4,0.25,1.70303303327,32,1.01903553152,1.12625819036,results/global_povm_search_qam4_0p25_d_scale_fine_0p90_1p00/best_matrices/best_M4_loss_0.25_scale_0p9_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_fine_0p90_1p00/global_povm_search_summary.csv,0.944060876286,1.89225892585,0.107222658835,10.5219745062,random_21,polish_5_from_random_21,polish,31,9,1.08218156622,1.08176667658,1.08383411711,0.0444915137764,0.042424073242,0,6,0.001,0.00173890162915,380,118.484
End Matter optimized-POVM d-scale scan,0.91,4,0.25,1.72195562252,32,1.01903553152,1.12741806375,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/best_matrices/best_M4_loss_0.25_scale_0p91_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/global_povm_search_summary.csv,0.944060876286,1.89225892585,0.108382532228,10.6357952079,random_14,polish_7_from_random_14,polish,31,8,1.08379086135,1.08355192649,1.08519436134,0.0438661372566,0.0422237024106,0,5,0.001,0.00192749272755,420,102.329
End Matter optimized-POVM d-scale scan,0.92,4,0.25,1.74087821178,32,1.01903553152,1.12867651872,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/best_matrices/best_M4_loss_0.25_scale_0p92_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/global_povm_search_summary.csv,0.944060876286,1.89225892585,0.109640987204,10.7592899181,random_6,polish_7_from_random_6,polish,31,9,1.08488832831,1.08470947741,1.08557945513,0.0439670413185,0.0430970635922,0,6,0.001,0.00128360604889,420,109.36
End Matter optimized-POVM d-scale scan,0.925,4,0.25,1.75033950641,32,1.01903553152,1.12870095109,results/global_povm_search_qam4_0p25_d_scale_fine_0p90_1p00/best_matrices/best_M4_loss_0.25_scale_0p925_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_fine_0p90_1p00/global_povm_search_summary.csv,0.944060876286,1.89225892585,0.109665419569,10.761687515,random_9,polish_6_from_random_9,polish,31,9,1.08520909515,1.08505785058,1.08572473056,0.0436431005062,0.0429762205333,0,7,0.001,0.00132477956637,380,105.432
End Matter optimized-POVM d-scale scan,0.93,4,0.25,1.7598008010405002,32,1.01903553152,1.12888966628,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/best_matrices/best_M4_loss_0.25_scale_0p93_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/global_povm_search_summary.csv,0.944060876286,1.89225892585,0.109854134758,10.7802065149,random_11,polish_6_from_random_11,polish,31,9,1.08537217883,1.08525547008,1.08583824901,0.0436341962027,0.043051417269,0,7,0.001,0.00124540968002,420,109.879
