subfigure,M,constellation,receiver,interface_loss_db_per_reflection,channel_loss_db_per_arm_code,end_to_end_channel_loss_db_midpoint,phase_error_pi,phase_error_rad,optimized_spacing_d,hashing_bound_bits_per_attempt,source_folder,source_loss_db_per_interface,channel_loss_db_per_arm,eta_source,eta_channel,seed_spacing_d,bracket_min,bracket_max,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,seconds
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.205,-0.644026493986,1.69157385664,0.429820303701,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906866680343,0.906866680343,0.331493329206,4,1,8,0,0.026
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.2,-0.628318530718,1.68695747665,0.429883435011,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906915976081,0.906915976081,0.331287991996,4,1,8,0,0.047
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.195,-0.61261056745,1.68247525393,0.429946935508,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906963794072,0.906963794072,0.331084545195,4,1,8,0,0.14
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.19,-0.596902604182,1.67812572243,0.430010719395,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907010138939,0.907010138939,0.330883282722,4,1,7,0,0.029
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.185,-0.581194640914,1.67391386,0.430074701752,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907054376049,0.907054376049,0.330685820635,4,1,7,0,0.115
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.18,-0.565486677646,1.66981906784,0.430138798569,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907098432018,0.907098432018,0.330488428413,4,1,7,0,0.01
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.175,-0.549778714378,1.66585920828,0.430202926486,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907140393758,0.907140393758,0.33029536634,4,1,8,0,0.01
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.17,-0.53407075111,1.66202656504,0.43026700291,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907180909438,0.907180909438,0.330105548191,4,1,8,0,0.041
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.165,-0.518362787842,1.6583198619,0.430330945844,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907219988001,0.907219988001,0.329919209988,4,1,8,0,0.012
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.16,-0.502654824574,1.65473785807,0.430394673818,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.907257639241,0.907257639241,0.32973657638,4,1,8,0,0.167
