subfigure,M,constellation,receiver,interface_loss_db_per_reflection,channel_loss_db_per_arm_code,end_to_end_channel_loss_db_midpoint,branch_label,spacing_d,hashing_bound_bits_per_attempt,generation_loss_db_per_step,channel_loss_db
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.205,0.25,0.5,high_d,1.55077306488,0.345113109623,0.205,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.21,0.25,0.5,high_d,1.55457988215,0.328231717076,0.21,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.215,0.25,0.5,high_d,1.5598736545,0.311588237259,0.215,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.22,0.25,0.5,high_d,1.56723352301,0.295187702348,0.22,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.225,0.25,0.5,low_d,0.604202241234,0.28697997407,0.225,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.23,0.25,0.5,low_d,0.595750299249,0.282990425643,0.23,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.235,0.25,0.5,low_d,0.588236708491,0.279123278739,0.235,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.24,0.25,0.5,low_d,0.580915971842,0.275369407957,0.24,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.245,0.25,0.5,low_d,0.574058432617,0.271721166143,0.245,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.25,0.25,0.5,low_d,0.567544351726,0.268171925584,0.25,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.255,0.25,0.5,low_d,0.56151450155,0.264715417859,0.255,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.26,0.25,0.5,low_d,0.555709235133,0.261346442035,0.26,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.3,0.25,0.5,low_d,0.516505354878,0.237050260946,0.3,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.35,0.25,0.5,low_d,0.47980257985,0.211718939554,0.35,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.4,0.25,0.5,low_d,0.451270529195,0.190368425658,0.4,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.45,0.25,0.5,low_d,0.422269017091,0.173425784892,0.45,0.25
"Fig. 3(a,b)",8,8-QAM,raw_label_srm,0.5,0.25,0.5,low_d,0.396396472635,0.16051043261,0.5,0.25
"Fig. 3(a,b)",16,16-QAM,raw_label_srm,0.0,0.25,0.5,high_d,1.68561076685,1.67284879047,0.0,0.25
"Fig. 3(a,b)",16,16-QAM,raw_label_srm,0.04,0.25,0.5,high_d,1.55885797961,1.02891411649,0.04,0.25
"Fig. 3(a,b)",16,16-QAM,raw_label_srm,0.05,0.25,0.5,high_d,1.53128916584,0.911905849551,0.05,0.25
"Fig. 3(a,b)",16,16-QAM,raw_label_srm,0.0525,0.25,0.5,high_d,1.52470755469,0.884190340013,0.0525,0.25
