subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,hashing_bound_bits_per_attempt,optimized_spacing_d,source_dataset,loss_db,vacuum_rate,raw_rate,raw_minus_vacuum,vacuum_d,raw_d,source_file,raw_success_probability,raw_average_target_fidelity,raw_useful_outcomes,raw_candidate_seconds,note,source_label,source_priority,vacuum_candidate_source,raw_candidate_source,vacuum_candidate_seconds,vacuum_bracket_min,vacuum_bracket_max,raw_bracket_min,raw_bracket_max,vacuum_optimizer_success,raw_optimizer_success,vacuum_optimizer_nfev,raw_optimizer_nfev,cache_evaluations,vacuum_boundary_peak,raw_boundary_peak,seconds
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.77,1.54,0.379542255686,1.67797208061,merged_2_4_8_16_raw_label_srm,0.77,0.329800817318,0.379542255686,0.0497414383686,1.63058588213,1.67797208061,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.78,1.56,0.369890269148,1.678529028,merged_2_4_8_16_raw_label_srm,0.78,0.322338156825,0.369890269148,0.0475521123233,1.62427596322,1.678529028,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.79,1.58,0.360329759736,1.67918292811,merged_2_4_8_16_raw_label_srm,0.79,0.314975679364,0.360329759736,0.0453540803718,1.61746318027,1.67918292811,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.8,1.6,0.350859141116,1.67993766121,merged_2_4_8_16_raw_label_srm,0.8,0.307713851632,0.350859141116,0.0431452894839,1.61004202412,1.67993766121,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.81,1.62,0.341476895477,1.68079753049,merged_2_4_8_16_raw_label_srm,0.81,0.300553737041,0.341476895477,0.0409231584359,1.60187453332,1.68079753049,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.82,1.64,0.332181572957,1.68176730452,merged_2_4_8_16_raw_label_srm,0.82,0.293497203523,0.332181572957,0.038684369434,1.59277309476,1.68176730452,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.83,1.66,0.322971791413,1.6828522654,merged_2_4_8_16_raw_label_srm,0.83,0.286547251814,0.322971791413,0.0364245395992,1.58247157333,1.6828522654,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.84,1.68,0.313846236559,1.68405826369,merged_2_4_8_16_raw_label_srm,0.84,0.279708565363,0.313846236559,0.0341376711959,1.57056823978,1.68405826369,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.85,1.7,0.304803662504,1.68539178107,merged_2_4_8_16_raw_label_srm,0.85,0.272988507975,0.304803662504,0.031815154529,1.55641440755,1.68539178107,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.86,1.72,0.295842892746,1.68686009478,merged_2_4_8_16_raw_label_srm,0.86,0.266399154141,0.295842892746,0.0294437386046,1.53883817611,1.68686009478,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.87,1.74,0.28696282166,1.68847095925,merged_2_4_8_16_raw_label_srm,0.87,0.259962247331,0.28696282166,0.027000574329,1.51526678773,1.68847095925,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.88,1.76,0.27816241656,1.69023334588,merged_2_4_8_16_raw_label_srm,0.88,0.253726488397,0.27816241656,0.0244359281634,1.47715715779,1.69023334588,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.89,1.78,0.269440720404,1.69215708552,merged_2_4_8_16_raw_label_srm,0.89,0.249486846423,0.269440720404,0.0199538739809,1.11425177885,1.69215708552,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.260796855247,1.69425311673,merged_2_4_8_16_raw_label_srm,0.9,0.245988139151,0.260796855247,0.014808716096,1.08203249463,1.69425311673,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.91,1.82,0.252230026555,1.69653362702,merged_2_4_8_16_raw_label_srm,0.91,0.242701727563,0.252230026555,0.00952829899185,1.05855065934,1.69653362702,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.92,1.84,0.243739528527,1.69901289039,merged_2_4_8_16_raw_label_srm,0.92,0.239579485809,0.243739528527,0.00416004271829,1.03961318348,1.69901289039,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.93,1.86,0.239926726431,0.958521813656,merged_2_4_8_16_raw_label_srm,0.93,0.236593335238,0.239926726431,0.0033333911929,1.02354532962,0.958521813656,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.94,1.88,0.237326109961,0.951306228428,merged_2_4_8_16_raw_label_srm,0.94,0.233724359743,0.237326109961,0.00360175021813,1.00948591262,0.951306228428,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),4,4-QAM,full_state_raw_label_srm,0.95,1.9,0.234785609264,0.944402847058,merged_2_4_8_16_raw_label_srm,0.95,0.230958740873,0.234785609264,0.00382686839128,0.99692450522,0.944402847058,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m4_m8_0p75_1p05db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
