M,constellation,receiver,phase_error_pi,phase_error_rad,source_loss_db_per_interface,channel_loss_db_per_arm,eta_source,eta_channel,seed_spacing_d,bracket_min,bracket_max,optimized_spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,seconds
2,2-QAM,raw_label_srm,-0.3,-0.942477796077,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.74653701751,0.352015560041,1,0.887315745247,0.887315745247,0.247192104443,4,1,8,0,0.021
2,2-QAM,raw_label_srm,-0.295,-0.926769832809,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.73912185541,0.352076028266,1,0.887435116688,0.887435116688,0.246948769868,4,1,8,0,0.103
2,2-QAM,raw_label_srm,-0.29,-0.911061869541,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.73188713298,0.352138885731,1,0.887550927773,0.887550927773,0.246702553695,4,1,8,0,0.033
2,2-QAM,raw_label_srm,-0.285,-0.895353906273,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.72477293584,0.352203998807,1,0.887669788314,0.887669788314,0.246443555099,4,1,8,0,0.117
2,2-QAM,raw_label_srm,-0.28,-0.879645943005,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.7178766399,0.35227123599,1,0.887780206782,0.887780206782,0.246190456207,4,1,8,0,0.058
2,2-QAM,raw_label_srm,-0.275,-0.863937979737,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.71114563607,0.352340467763,1,0.887887959582,0.887887959582,0.245934690671,4,1,8,0,0.095
2,2-QAM,raw_label_srm,-0.27,-0.848230016469,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.70457742842,0.352411566944,1,0.887993069936,0.887993069936,0.245676733695,4,1,7,0,0.122
2,2-QAM,raw_label_srm,-0.265,-0.832522053201,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.69815276244,0.352484408434,1,0.888097520993,0.888097520993,0.245413859916,4,1,7,0,0.052
2,2-QAM,raw_label_srm,-0.26,-0.816814089933,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.69191982905,0.352558869472,1,0.88819544907,0.88819544907,0.245156097211,4,1,8,0,0.058
2,2-QAM,raw_label_srm,-0.255,-0.801106126665,0.2,0.25,0.954992586021,0.944060876286,1.54433889119,1.24433889119,1.84433889119,1.68582584431,0.352634829042,1,0.888292757914,0.888292757914,0.244894317127,4,1,8,0,0.228
