M,constellation,phase_error_pi,phase_error_rad,source_loss_db_per_interface,channel_loss_db_per_arm,raw_hashing_bound_bits_per_attempt,vacuum_hashing_bound_bits_per_attempt,raw_minus_vacuum_hashing_bound_bits_per_attempt,raw_optimized_spacing_d,vacuum_optimized_spacing_d,raw_minus_vacuum_optimized_spacing_d
2,2-QAM,-0.3,-0.942477796077,0.2,0.25,0.352015560041,0.316677652354,0.03533790768699996,1.74653701751,1.77210262813,-0.02556561062000018
2,2-QAM,-0.295,-0.926769832809,0.2,0.25,0.352076028266,0.317091456297,0.03498457196900001,1.73912185541,1.76273864314,-0.023616787729999977
2,2-QAM,-0.29,-0.911061869541,0.2,0.25,0.352138885731,0.317516162302,0.03462272342899997,1.73188713298,1.75360157723,-0.02171444424999991
2,2-QAM,-0.285,-0.895353906273,0.2,0.25,0.352203998807,0.317951090204,0.03425290860300001,1.72477293584,1.74468676111,-0.019913825270000185
2,2-QAM,-0.28,-0.879645943005,0.2,0.25,0.35227123599,0.31839557213,0.03387566385999996,1.7178766399,1.73598955937,-0.018112919470000044
2,2-QAM,-0.275,-0.863937979737,0.2,0.25,0.352340467763,0.318848952057,0.03349151570600001,1.71114563607,1.72750538925,-0.01635975318000016
2,2-QAM,-0.27,-0.848230016469,0.2,0.25,0.352411566944,0.319310585288,0.033100981656000006,1.70457742842,1.71923437228,-0.01465694386000016
2,2-QAM,-0.265,-0.832522053201,0.2,0.25,0.352484408434,0.319779837848,0.03270457058599996,1.69815276244,1.71117286648,-0.013020104040000202
2,2-QAM,-0.26,-0.816814089933,0.2,0.25,0.352558869472,0.320256085908,0.032302783564000015,1.69191982905,1.70331003593,-0.011390206880000031
2,2-QAM,-0.255,-0.801106126665,0.2,0.25,0.352634829042,0.320738715223,0.03189611381899998,1.68582584431,1.69559154131,-0.009765696999999962
2,2-QAM,-0.25,-0.785398163397,0.2,0.25,0.352712168383,0.32122712006,0.03148504832300003,1.67988546192,1.68811327504,-0.008227813119999983
2,2-QAM,-0.245,-0.769690200129,0.2,0.25,0.352790770671,0.321720702782,0.03107006788900002,1.67409656148,1.68082121476,-0.006724653279999826
2,2-QAM,-0.24,-0.753982236862,0.2,0.25,0.352870521016,0.322218873081,0.030651647935000026,1.66845708681,1.67371152757,-0.005254440760000145
2,2-QAM,-0.235,-0.738274273594,0.2,0.25,0.352951306408,0.322721047167,0.03023025924099998,1.66296504271,1.66676692813,-0.0038018854199999286
2,2-QAM,-0.23,-0.722566310326,0.2,0.25,0.353033015664,0.323226647214,0.02980636845000001,1.65763378788,1.66002477549,-0.002390987609999895
2,2-QAM,-0.225,-0.706858347058,0.2,0.25,0.353115539355,0.323735100267,0.029380439088000032,1.65243670247,1.65344088289,-0.001004180420000056
2,2-QAM,-0.22,-0.69115038379,0.2,0.25,0.353198769734,0.324245837891,0.028952931843000018,1.64738088587,1.64702570865,0.00035517722000011354
2,2-QAM,-0.215,-0.675442420522,0.2,0.25,0.353282600663,0.324758295291,0.028524305372000014,1.64246454007,1.64077626016,0.001688279909999979
2,2-QAM,-0.21,-0.659734457254,0.2,0.25,0.353366927539,0.325271910672,0.028095016867,1.63768592015,1.63468971202,0.002996208130000122
2,2-QAM,-0.205,-0.644026493986,0.2,0.25,0.353451647214,0.32578612459,0.027665522624000016,1.63304333213,1.6287634046,0.0042799275300000605
2,2-QAM,-0.2,-0.628318530718,0.2,0.25,0.353536657914,0.326300379327,0.027236278587000007,1.62853513104,1.62300500984,0.005530121200000071
2,2-QAM,-0.195,-0.61261056745,0.2,0.25,0.353621859148,0.326814118307,0.02680774084099996,1.62415971919,1.61739628109,0.006763438099999908
2,2-QAM,-0.19,-0.596902604182,0.2,0.25,0.353707151625,0.327326785531,0.02638036609400002,1.61991219083,1.611940319,0.007971871830000143
2,2-QAM,-0.185,-0.581194640914,0.2,0.25,0.353792437089,0.32783782506,0.025954612029000013,1.61581524135,1.60663514142,0.009180099930000019
