M,constellation,loss_db,eta,spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,useful_outcomes,grid_region,seconds
4,4-QAM,0.9,0.812830516164,0.625,0.19071742471,0.999999999879,0.929502256635,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.6275,0.191535386876,0.999999999994,0.928957919128,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.63,0.192348351651,0.999999999925,0.928411737464,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.6325,0.193156276818,0.999999999992,0.927863715555,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.635,0.193959120677,0.999999999966,0.927313857327,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.6375,0.194756842229,0.999999999999,0.926762166727,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.64,0.195549401056,0.999999999992,0.926208647717,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.6425,0.196336757392,0.999999999937,0.925653304277,12,full_d,0.019
4,4-QAM,0.9,0.812830516164,0.645,0.197118872138,0.999999999975,0.925096140405,12,full_d,0.022
4,4-QAM,0.9,0.812830516164,0.6475,0.197895706788,0.999999999998,0.924537160116,12,full_d,0.021
4,4-QAM,0.9,0.812830516164,0.65,0.198667223496,0.999999999968,0.923976367444,12,full_d,0.029
4,4-QAM,0.9,0.812830516164,0.6525,0.199433385091,0.999999999998,0.92341376644,12,full_d,0.022
4,4-QAM,0.9,0.812830516164,0.655,0.200194155016,0.999999999984,0.922849361173,12,full_d,0.061
4,4-QAM,0.9,0.812830516164,0.6575,0.200949497392,0.999999999959,0.922283155731,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.66,0.201699376992,0.999999999904,0.921715154218,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.6625,0.202443759281,0.999999999952,0.921145360758,12,full_d,0.004
4,4-QAM,0.9,0.812830516164,0.665,0.203182610341,0.999999999999,0.920573779492,12,full_d,0.023
4,4-QAM,0.9,0.812830516164,0.6675,0.203915896921,0.999999999941,0.920000414581,12,full_d,0.015
4,4-QAM,0.9,0.812830516164,0.67,0.204643586507,0.999999999986,0.919425270204,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.6725,0.205365647188,0.999999999995,0.918848350557,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.675,0.206082047765,0.999999999994,0.918269659856,12,full_d,0.003
4,4-QAM,0.9,0.812830516164,0.6775,0.206792757715,0.999999999999,0.917689202336,12,full_d,0.021
4,4-QAM,0.9,0.812830516164,0.68,0.207497747193,0.999999999999,0.91710698225,12,full_d,0.004
